,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
46,7517.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1997,Gasolina,015032-0,janeiro de 2022 ,G
47,7282.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1996,Gasolina,015032-0,janeiro de 2022 ,G
48,6035.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1995,Gasolina,015032-0,janeiro de 2022 ,G
49,13234.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2001,Gasolina,015032-0,dezembro de 2021 ,G
50,12406.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2000,Gasolina,015032-0,dezembro de 2021 ,G
51,8874.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1999,Gasolina,015032-0,dezembro de 2021 ,G
52,8366.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1998,Gasolina,015032-0,dezembro de 2021 ,G
53,7273.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1997,Gasolina,015032-0,dezembro de 2021 ,G
54,7045.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1996,Gasolina,015032-0,dezembro de 2021 ,G
55,5859.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1995,Gasolina,015032-0,dezembro de 2021 ,G
56,13189.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2001,Gasolina,015032-0,novembro de 2021 ,G
57,12363.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2000,Gasolina,015032-0,novembro de 2021 ,G
58,8844.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1999,Gasolina,015032-0,novembro de 2021 ,G
59,8337.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1998,Gasolina,015032-0,novembro de 2021 ,G
60,7248.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1997,Gasolina,015032-0,novembro de 2021 ,G
61,7021.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1996,Gasolina,015032-0,novembro de 2021 ,G
62,5839.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1995,Gasolina,015032-0,novembro de 2021 ,G
63,13144.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2001,Gasolina,015032-0,outubro de 2021 ,G
64,12321.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2000,Gasolina,015032-0,outubro de 2021 ,G
65,9025.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1999,Gasolina,015032-0,outubro de 2021 ,G
66,8309.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1998,Gasolina,015032-0,outubro de 2021 ,G
67,7061.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1997,Gasolina,015032-0,outubro de 2021 ,G
68,6841.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1996,Gasolina,015032-0,outubro de 2021 ,G
69,5819.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1995,Gasolina,015032-0,outubro de 2021 ,G
70,12908.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2001,Gasolina,015032-0,setembro de 2021 ,G
71,12141.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2000,Gasolina,015032-0,setembro de 2021 ,G
72,8893.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1999,Gasolina,015032-0,setembro de 2021 ,G
73,8188.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1998,Gasolina,015032-0,setembro de 2021 ,G
74,6859.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1997,Gasolina,015032-0,setembro de 2021 ,G
75,6548.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1996,Gasolina,015032-0,setembro de 2021 ,G
76,5819.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1995,Gasolina,015032-0,setembro de 2021 ,G
77,12719.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2001,Gasolina,015032-0,agosto de 2021 ,G
78,11964.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2000,Gasolina,015032-0,agosto de 2021 ,G
79,8763.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1999,Gasolina,015032-0,agosto de 2021 ,G
80,8068.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1998,Gasolina,015032-0,agosto de 2021 ,G
81,6542.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1997,Gasolina,015032-0,agosto de 2021 ,G
82,6150.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1996,Gasolina,015032-0,agosto de 2021 ,G
83,5666.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1995,Gasolina,015032-0,agosto de 2021 ,G
0,10976.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2001,Gasolina,015001-0,julho de 2022 ,G
1,9365.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2000,Gasolina,015001-0,julho de 2022 ,G
2,8252.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1999,Gasolina,015001-0,julho de 2022 ,G
3,7965.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1998,Gasolina,015001-0,julho de 2022 ,G
4,7702.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1997,Gasolina,015001-0,julho de 2022 ,G
5,5952.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1996,Gasolina,015001-0,julho de 2022 ,G
6,5535.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1995,Gasolina,015001-0,julho de 2022 ,G
7,11010.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2001,Gasolina,015001-0,junho de 2022 ,G
8,9000.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2000,Gasolina,015001-0,junho de 2022 ,G
9,7653.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1999,Gasolina,015001-0,junho de 2022 ,G
10,7442.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1998,Gasolina,015001-0,junho de 2022 ,G
