,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
16,259759.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),32000,Gasolina,080030-9,janeiro de 2022 ,G
17,231748.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),2022,Gasolina,080030-9,janeiro de 2022 ,G
18,247755.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),32000,Gasolina,080030-9,dezembro de 2021 ,G
19,224919.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),2022,Gasolina,080030-9,dezembro de 2021 ,G
20,247440.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),32000,Gasolina,080030-9,novembro de 2021 ,G
21,224138.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),2022,Gasolina,080030-9,novembro de 2021 ,G
22,247791.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),32000,Gasolina,080030-9,outubro de 2021 ,G
23,223360.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),2022,Gasolina,080030-9,outubro de 2021 ,G
24,247575.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),32000,Gasolina,080030-9,setembro de 2021 ,G
25,220087.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),2022,Gasolina,080030-9,setembro de 2021 ,G
26,250757.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),32000,Gasolina,080030-9,agosto de 2021 ,G
27,216862.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),2022,Gasolina,080030-9,agosto de 2021 ,G
0,396266.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,julho de 2022 ,G
1,378461.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,julho de 2022 ,G
2,395916.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,junho de 2022 ,G
3,379600.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,junho de 2022 ,G
4,394728.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,maio de 2022 ,G
5,376588.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,maio de 2022 ,G
6,482610.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,abril de 2022 ,G
7,380837.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,abril de 2022 ,G
8,469900.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,março de 2022 ,G
